"AREA","SITE","YEAR","MONTH","DAY","PAGE","LINE","SP","SEX","MATURITY","LENGTH","WEIGHT","AGE","AGECONF","STATAREA","SPECIES","PORT","USER","ASSEMB","sasdate"
17,754,2001,6,14,7,13,142,"M",3,54,NA,22,2,525732,"Black","Kodiak","Charter","Pelagic",2001-06-14
17,754,2001,6,16,8,1,142,"F",6,37,NA,7,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-06-16
17,754,2001,6,16,8,2,142,"F",2,40,NA,10,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-06-16
17,754,2001,6,16,8,3,142,"M",1,46,NA,14,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-06-16
17,754,2001,6,21,9,1,142,"M",NA,49,NA,25,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-21
17,754,2001,6,21,9,2,142,"F",NA,51,NA,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-21
17,754,2001,6,24,10,1,142,"F",3,41,1.3,7,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,2,142,"M",3,47,NA,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,3,142,"M",2,42,1.2,7,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,4,142,"F",4,46,1.8,8,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,5,142,"F",2,NA,0.8,NA,NA,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,6,142,"M",2,40,NA,7,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,7,142,"M",4,38,1,8,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,8,142,"F",3,32,0.8,6,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,24,10,9,142,"M",5,41,1.7,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-24
17,754,2001,6,27,11,1,142,"F",3,50,NA,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-06-27
17,754,2001,6,28,12,1,142,"F",3,45,NA,8,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,2,142,"F",6,53,NA,15,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,3,142,"F",3,48,NA,9,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,4,142,"F",NA,50,NA,10,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,5,142,"M",3,52,NA,23,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,6,142,"F",4,44,NA,8,2,NA,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,7,142,"F",5,50,NA,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,8,142,"M",4,52,NA,27,2,525733,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,9,142,"M",3,46,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,28,12,10,142,"M",2,45,NA,9,2,525733,"Black","Kodiak","Charter","Pelagic",2001-06-28
17,754,2001,6,29,13,1,142,"",NA,51,2,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-29
17,754,2001,6,29,13,2,142,"",NA,51,1.9,11,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-29
17,754,2001,6,29,13,3,142,"F",3,49,1.6,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-06-29
17,754,2001,6,30,14,1,142,"M",3,49,NA,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-06-30
17,754,2001,6,30,14,2,142,"M",3,53,NA,26,2,NA,"Black","Kodiak","Private","Pelagic",2001-06-30
17,754,2001,6,30,14,3,142,"M",3,49,NA,22,2,NA,"Black","Kodiak","Private","Pelagic",2001-06-30
17,754,2001,6,30,14,4,142,"M",3,50,NA,22,2,NA,"Black","Kodiak","Private","Pelagic",2001-06-30
17,754,2001,7,1,15,1,142,"M",3,49,NA,10,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-07-01
17,754,2001,7,1,15,2,142,"M",3,47,NA,10,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-07-01
17,754,2001,7,1,15,3,142,"F",4,53,NA,9,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-07-01
17,754,2001,7,1,15,4,142,"F",4,44,NA,7,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-07-01
17,754,2001,7,1,15,5,142,"F",5,53,NA,15,2,NA,"Black","Kodiak","Unknown","Pelagic",2001-07-01
17,754,2001,7,1,15,6,142,"M",3,48,NA,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-01
17,754,2001,7,1,15,7,142,"F",4,54,NA,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-01
17,754,2001,7,1,15,8,142,"F",3,55,NA,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-01
17,754,2001,7,7,16,1,142,"F",6,57,NA,15,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,2,142,"F",4,49,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,3,142,"F",4,48,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,4,142,"F",4,54,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,5,142,"F",4,51,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,6,142,"F",4,52,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,7,142,"F",6,50,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,8,142,"F",4,53,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,9,142,"F",6,51,NA,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,10,142,"M",3,51,NA,21,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,11,142,"M",3,50,NA,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,7,16,12,142,"M",3,51,NA,16,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-07
17,754,2001,7,8,17,1,154,"F",1,43,NA,22,2,525733,"DrkDsky","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,2,142,"F",8,38,NA,6,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,3,142,"M",3,50,NA,22,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,4,142,"M",3,52,NA,22,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,5,142,"M",3,52,NA,16,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,6,142,"M",1,36,NA,6,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,7,142,"M",3,48,NA,21,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,8,17,8,142,"M",3,52,NA,22,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-08
17,754,2001,7,10,18,1,142,"F",1,43,NA,7,2,NA,"Black","Kodiak","Charter","Pelagic",2001-07-10
17,754,2001,7,10,18,2,142,"M",3,53,NA,27,1,NA,"Black","Kodiak","Charter","Pelagic",2001-07-10
17,754,2001,7,14,19,1,142,"M",4,54,2.4,16,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,2,142,"F",4,52,2.7,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,3,142,"F",2,50,NA,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,4,142,"F",4,52,2.4,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,5,142,"F",4,53,NA,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,6,142,"F",4,51,2.1,11,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,7,142,"F",4,51,2,10,2,NA,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,8,142,"M",2,41,1.1,7,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,14,19,9,142,"F",4,51,2.5,11,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-14
17,754,2001,7,15,20,1,142,"M",5,52,2.5,18,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,2,142,"M",5,41,1.9,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,3,142,"M",5,53,2.5,22,NA,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,4,142,"M",5,55,2.9,16,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,5,142,"F",2,50,2.4,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,6,142,"M",5,50,2.2,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,7,142,"F",NA,52,2.7,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,15,20,8,142,"F",4,52,3,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-15
17,754,2001,7,18,21,1,142,"F",5,53,2.6,36,NA,525733,"Black","Kodiak","Charter","Pelagic",2001-07-18
17,754,2001,7,18,21,2,142,"F",4,54,3.2,10,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-18
17,754,2001,7,18,21,3,142,"F",2,52,2.3,11,2,525733,"Black","Kodiak","Charter","Pelagic",2001-07-18
17,754,2001,7,24,22,1,142,"F",4,48,2.3,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-24
17,754,2001,7,24,22,2,142,"F",8,50,2.4,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-24
17,754,2001,7,29,23,1,142,"F",3,52,2.6,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-29
17,754,2001,7,29,23,2,142,"",NA,50,2.1,11,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-29
17,754,2001,7,29,23,3,142,"F",4,48,2.2,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-07-29
17,754,2001,8,2,24,5,142,"F",4,49,2.4,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-02
17,754,2001,8,6,25,1,142,"F",4,47,1.9,8,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,2,142,"F",4,51,2.4,11,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,3,142,"F",4,53,2.3,29,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,4,142,"",8,51,2.1,22,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,5,142,"M",5,52,2.3,20,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,6,142,"M",5,51,2,16,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,6,25,7,142,"M",4,48,1.6,NA,NA,525733,"Black","Kodiak","Private","Pelagic",2001-08-06
17,754,2001,8,8,26,1,142,"F",4,53,3,11,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-08
17,754,2001,8,8,26,2,142,"F",3,53,2.9,10,2,525733,"Black","Kodiak","Private","Pelagic",2001-08-08
