"PORT","YEAR","Species","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"Kodiak",1998,"Yelloweye",0.16793893129771,0.00107488805117148,0.0309278350515464,0.000312201084068445,194.30534351145,74.8838198936913,104.845360824742,60.5878532353332,299.150704336193,96.324838133978,0.0657907860866929,0.01811783027747
"Kodiak",1999,"Black",0.882758620689655,0.000718721099220505,0.718061674008811,0.000895792505878209,1722.26206896552,522.330379168187,2534.03964757709,544.123443990577,4256.30171654261,754.25416624779,0.776697393529673,0.0256108736631058
"Kodiak",1999,"DuskyDark",0.0827586206896552,0.000527150217994451,0.255506607929515,0.000841694607229506,161.462068965517,64.8052764252764,901.68281938326,214.833098310032,1063.14488834878,224.394705779892,0.194004541669485,0.0250711616612663
"Kodiak",1999,"Yelloweye",0.0344827586206897,0.000231206235962479,0.026431718061674,0.000113863196203461,67.2758620689655,34.8190099830959,93.2775330396476,41.7340003454181,160.553395108613,54.3515431338825,0.0292980648008418,0.00877426309252154
"Kodiak",2000,"Black",0.858208955223881,0.000914934920281322,0.683760683760684,0.000928034382419768,1688.09701492537,553.832977320756,3526.83760683761,655.073703613912,5214.93462176298,857.818467937372,0.731920648668488,0.0269291352794309
"Kodiak",2000,"DuskyDark",0.0671641791044776,0.000471076331952626,0.282051282051282,0.000869091658130945,132.111940298507,59.0572473336219,1454.82051282051,302.195683227124,1586.93245311902,307.912308009493,0.222727361841266,0.0273484528223446
"Kodiak",2000,"Yelloweye",0.0746268656716418,0.000519230801441117,0.0341880341880342,0.000141713358396532,146.791044776119,63.9558671503243,176.34188034188,68.2681202013324,323.132925118,93.5461874090735,0.0453519894902456,0.0110872652845306
"Kodiak",2001,"Black",0.894736842105263,0.00125577100646353,0.854545454545454,0.00114034422624915,2251.15789473684,553.483669406035,2554.23636363636,628.078884556364,4805.39425837321,837.154261486338,0.872914488351173,0.0247027788582672
"Kodiak",2001,"DuskyDark",0.0394736842105263,0.000505540166204986,0.145454545454545,0.00114034422624915,99.3157894736842,59.9430408308114,434.763636363636,144.007934592392,534.079425837321,155.985426786002,0.0970171527406577,0.0228774300073323
"Kodiak",2001,"Yelloweye",0.0657894736842105,0.000819482917820868,0,0,165.526315789474,80.606667857238,0,0,165.526315789474,80.606667857238,0.0300683589081696,0.0142344907625701
"Kodiak",2002,"Black",0.793650793650794,0.00264143889335902,0.611428571428571,0.00136542341074361,2029.36507936508,753.636375606139,3056.53142857143,776.632046563661,5085.89650793651,1082.18534567163,0.673093767593503,0.0350057134408166
"Kodiak",2002,"China",0,0,0.00571428571428571,3.26530612244898e-05,0,0,28.5657142857143,28.5657142857143,28.5657142857143,28.5657142857143,0.00378053391817288,0.00382260148359365
