"","port","page","line","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"84","CCI",4,5,2015,NA,"","M",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"85","CCI",4,6,2015,NA,"","M",80,10.1433265474259,13.4907268991556,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"86","CCI",4,7,2015,NA,"","M",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"87","CCI",4,8,2015,11,"","M",77,8.96187328124,11.9193821057382,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"88","CCI",4,9,2015,NA,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"89","CCI",4,10,2015,NA,"","M",66,5.43865111903038,7.23346099561835,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"90","CCI",4,11,2015,NA,"","M",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"91","CCI",4,12,2015,NA,"","M",100,20.9010858569024,27.7986555863006,NA,NA,"Charter","NSC 3",525931,NA,0,5,31,1
"92","CCI",4,13,2015,NA,"","M",69,6.2811606783156,8.35400723073185,NA,NA,"Charter","AFISHUNT II",525931,NA,0,5,31,1
"93","CCI",4,14,2015,9,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Charter","AFISHUNT II",525931,NA,0,5,31,1
"94","CCI",4,15,2015,11,"","F",89,14.3282275744224,19.0566875917582,NA,NA,"Charter","AFISHUNT II",525931,NA,0,5,31,1
"95","CCI",4,16,2015,8,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","AFISHUNT II",525931,NA,0,5,31,1
"96","CCI",5,1,2015,NA,"","F",92,15.9529649068762,21.2176046767513,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"97","CCI",5,2,2015,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"98","CCI",5,3,2015,NA,"","F",76,8.5902319024382,11.4250953130969,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"99","CCI",5,4,2015,NA,"","F",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"100","CCI",5,5,2015,NA,"","F",79,9.7382433958611,12.9519622105045,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"101","CCI",5,6,2015,NA,"","F",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"102","CCI",5,7,2015,NA,"","M",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"103","CCI",5,8,2015,10,"","M",77,8.96187328124,11.9193821057382,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"104","CCI",5,9,2015,NA,"","M",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"105","CCI",5,10,2015,NA,"","M",66,5.43865111903038,7.23346099561835,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"106","CCI",5,11,2015,NA,"","M",67,5.71019855759206,7.59462183537565,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"107","CCI",5,12,2015,NA,"","M",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","DISCOVER II",525931,NA,0,6,3,1
"108","CCI",5,13,2015,NA,"","M",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"109","CCI",5,14,2015,NA,"","M",64,4.92257072920152,6.54706885743389,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"110","CCI",5,15,2015,NA,"","M",68,5.99097802244174,7.96806136347005,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"111","CCI",5,16,2015,15,"","M",82,10.9881791366113,14.614389387734,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"112","CCI",5,17,2015,NA,"","M",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"113","CCI",5,18,2015,10,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"114","CCI",5,19,2015,NA,"","F",77,8.96187328124,11.9193821057382,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"115","CCI",5,20,2015,8,"","F",75,8.22938427965115,10.9451643251248,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"116","CCI",5,21,2015,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"117","CCI",5,22,2015,NA,"","F",68,5.99097802244174,7.96806136347005,NA,NA,"Charter","BIG IRON",525931,NA,0,6,3,1
"118","CCI",6,1,2015,10,"","F",90,14.8564340647168,19.7592075662069,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"119","CCI",6,2,2015,10,"","F",102,22.2860656615977,29.6406927344324,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"120","CCI",6,3,2015,NA,"","F",87,13.3110166823064,17.703786817025,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"121","CCI",6,4,2015,8,"","F",86,12.8216474535934,17.0529207932853,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"122","CCI",6,5,2015,NA,"","F",77,8.96187328124,11.9193821057382,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"123","CCI",6,6,2015,NA,"","F",69,6.2811606783156,8.35400723073185,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"124","CCI",6,7,2015,8,"","F",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"125","CCI",6,8,2015,7,"","F",68,5.99097802244174,7.96806136347005,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"126","CCI",6,9,2015,5,"","F",70,6.58091829516383,8.7526878929321,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"127","CCI",6,10,2015,9,"","M",73,7.53936755018688,10.0274350960078,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"128","CCI",6,11,2015,5,"","M",58,3.57829011234887,4.75916204077032,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
