"","PORT","PAGE","LINE","YEAR","AGE","AGE2","AGEERR","SEX","LENGTH","NETWT","RNDWT","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"66","CCI",5,1,2017,7,"NA","NA","F",70,6.58091829516383,8.7526878929321,"NA","Private","P1",515938,0,0,5,27,2
"67","CCI",5,2,2017,NA,"NA","NA","F",75,8.22938427965115,10.9451643251248,"NA","Private","P1",515938,0,0,5,27,2
"68","CCI",5,3,2017,NA,"NA","NA","F",80,10.1433265474259,13.4907268991556,"NA","Private","P1",515938,0,0,5,27,2
"69","CCI",5,4,2017,13,"NA","NA","M",84,11.8804731210747,15.8011494118613,"NA","Private","P1",515938,0,0,5,27,2
"70","CCI",5,5,2017,NA,"NA","NA","M",71,6.89042324147201,9.16433260189999,"NA","Private","P1",515938,0,0,5,27,2
"71","CCI",5,6,2017,NA,"NA","NA","M",82,10.9881791366113,14.614389387734,"NA","Private","P1",515938,0,0,5,27,2
"72","CCI",5,7,2017,13,"NA","NA","M",72,7.20984847775072,9.58917139686394,"NA","Charter","BANSHEE",525902,0,0,5,27,2
"73","CCI",5,8,2017,NA,"NA","NA","F",103,23.0017806330211,30.5926008852709,"NA","Charter","BANSHEE",525902,0,0,5,27,2
"74","CCI",5,9,2017,9,"NA","NA","F",96,18.3116569755219,24.3546889842045,"NA","Charter","BANSHEE",525902,0,0,5,27,2
"75","CCI",5,10,2017,10,"NA","NA","F",81,10.5599122758681,14.0447901313923,"NA","Charter","BANSHEE",525902,0,0,5,27,2
"76","CCI",5,11,2017,NA,"NA","NA","F",95,17.7008177429845,23.542266626813,"NA","Charter","BANSHEE",525902,0,0,5,27,2
"77","CCI",6,1,2017,NA,"NA","NA","F",120,37.7325439379309,50.1846650698821,"NA","Charter","GHOST",525902,0,0,5,30,2
"78","CCI",6,2,2017,15,"NA","NA","F",112,30.174163738861,40.1319429585631,"NA","Charter","GHOST",525902,0,0,5,30,2
"79","CCI",6,3,2017,NA,"NA","NA","F",108,26.8201879531908,35.6711212410232,"NA","Charter","GHOST",525902,0,0,5,30,2
"80","CCI",6,4,2017,NA,"NA","NA","F",146,71.2315019887251,94.7386180907693,"NA","Charter","GHOST",525902,0,0,5,30,2
"81","CCI",6,5,2017,NA,"NA","NA","F",119,36.7232411172277,48.8422821101114,"NA","Charter","GHOST",525902,0,0,5,30,2
"82","CCI",6,6,2017,NA,"NA","NA","F",62,4.44137990441386,5.90708019363236,"NA","Private","P1",525931,0,0,5,30,2
"83","CCI",6,7,2017,NA,"NA","NA","F",64,4.92257072920152,6.54706885743389,"NA","Private","P1",525931,0,0,5,30,2
