"","species","SFmgmtarea","YEAR","n","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"251","Dark","KOD",2007,204,0.0420168067226891,0.000341113514199299,0,0,299.663865546219,139.083333514438,0,0,299.663865546219,139.083333514438,0.0238756964023758,0.0108172532143265
"252","DrkDsky","KOD",2007,204,0.201680672268908,0.0013644540567972,0.0588235294117647,0.000659087164277476,1438.38655462185,352.72984237909,318.764705882353,149.691370304751,1757.1512605042,383.178611157371,0.140000897179842,0.0253542377557628
"253","Dusky","KOD",2007,204,0.00840336134453781,7.06164818868724e-05,0.0352941176470588,0.000405338606030648,59.9327731092437,59.9327731092437,191.258823529412,113.220617230653,251.191596638655,128.104822152228,0.0200136719495383,0.0100586476411001
"254","Rosethorn","KOD",2007,204,0.00840336134453781,7.06164818868724e-05,0,0,59.9327731092437,59.9327731092437,0,0,59.9327731092437,59.9327731092437,0.00477513928047516,0.00480381851539902
"255","Yelloweye","KOD",2007,204,0,0,0.0117647058823529,0.00013840830449827,0,0,63.7529411764706,63.7529411764706,63.7529411764706,63.7529411764706,0.00507951088968772,0.0051322389415464
"256","Black","KOD",2008,220,0.724137931034483,0.00138723741577487,0.693333333333333,0.00287327327327327,7213.13793103448,1189.65899033204,3906.93333333333,917.303329699985,11120.0712643678,1502.24296036178,0.713007903588601,0.0307363437422935
"257","Dark","KOD",2008,220,0.0482758620689655,0.00031906460562822,0.04,0.000518918918918919,480.875862068965,191.238316168977,225.4,134.81341259762,706.275862068965,233.980233753541,0.0452857054417136,0.0140771711005389
"258","DrkDsky","KOD",2008,220,0.0275862068965517,0.000186286167261197,0.0133333333333333,0.000177777777777778,274.786206896552,141.023409508245,75.1333333333333,75.1333333333333,349.919540229885,159.789298162011,0.0224364927051734,0.00999999634631035
"259","Dusky","KOD",2008,220,0.0758620689655172,0.000486854274012419,0.226666666666667,0.00236876876876877,755.662068965517,247.338773722714,1277.26666666667,390.077726758287,2032.92873563218,461.884294926304,0.130349367506552,0.0244444255682938
"260","Quillback","KOD",2008,220,0.00689655172413793,4.75624256837099e-05,0.0133333333333333,0.000177777777777778,68.6965517241379,68.6965517241379,75.1333333333333,75.1333333333333,143.829885057471,101.804881987874,0.00922222910088941,0.00654013298672417
"261","Yelloweye","KOD",2008,220,0.117241379310345,0.000718721099220505,0.0133333333333333,0.000177777777777778,1167.84137931034,321.149058664088,75.1333333333333,75.1333333333333,1242.97471264368,329.820762928302,0.0796983016570709,0.0189466772525706
"262","Black","KOD",2009,255,0.761111111111111,0.00101575970756604,0.52,0.00337297297297297,7050.93333333333,954.768543506629,3469.96,831.664518173758,10520.8933333333,1266.19463055999,0.660155194411328,0.0338910777633492
"263","Dark","KOD",2009,255,0.00555555555555556,3.08641975308642e-05,0.0266666666666667,0.000350750750750751,51.4666666666667,51.4666666666667,177.946666666667,127.864324058617,229.413333333333,137.833606731975,0.0143950136997762,0.00857689200739315
"264","Dusky","KOD",2009,255,0.105555555555556,0.000527450168977171,0.36,0.00311351351351351,977.866666666667,245.762318550095,2402.28,628.591826072695,3380.14666666667,674.927256098406,0.212094287925373,0.031023307395509
"265","Quillback","KOD",2009,255,0.00555555555555556,3.08641975308642e-05,0,0,51.4666666666667,51.4666666666667,0,0,51.4666666666667,51.4666666666667,0.00322938235970802,0.00324692849548798
"266","Tiger","KOD",2009,255,0.00555555555555556,3.08641975308642e-05,0,0,51.4666666666667,51.4666666666667,0,0,51.4666666666667,51.4666666666667,0.00322938235970802,0.00324692849548798
"267","Yelloweye","KOD",2009,255,0.116666666666667,0.000575729360645562,0.0933333333333333,0.00114354354354354,1080.8,260.756168987053,622.813333333333,257.42202926469,1703.61333333333,366.41490255659,0.106896739244107,0.0199255244173852
"268","Black","KOD",2010,183,0.529850746268657,0.00187299949584364,0.63265306122449,0.00484173261141191,7141.32835820896,1233.43156994963,4061,1048.74832100763,11202.328358209,1619.02022178994,0.563015950053222,0.0374568277772009
"269","China","KOD",2010,183,0.00746268656716418,5.56916907997327e-05,0,0,100.582089552239,100.582089552239,0,0,100.582089552239,100.582089552239,0.00505513844058093,0.00507576781999641
"270","Dark","KOD",2010,183,0.082089552238806,0.000566547801895025,0.163265306122449,0.00284603637373317,1106.40298507463,359.246948498584,1048,414.105116629881,2154.40298507463,548.216579122332,0.108277779819803,0.0241019099815502
"271","Dusky","KOD",2010,183,0.17910447761194,0.00110545912564883,0.183673469387755,0.00312369845897543,2413.97014925373,576.190554937107,1179,445.436932937189,3592.97014925373,728.292260581713,0.180578486669032,0.0288519117229661
