"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"75","Dusky","CI",2007,0.0254545454545455,9.05350787235326e-05,0.157894736842105,0.00237435694499406,NA,NA,NA,NA,NA,NA,NA,NA
"76","Silvergray","CI",2007,0.00363636363636364,1.32231404958678e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"77","Yelloweye","CI",2007,0.12,0.000385401459854015,0.175438596491228,0.00258321241700743,NA,NA,NA,NA,NA,NA,NA,NA
"78","Black","CI",2008,0.718592964824121,0.0010212985642899,0.425531914893617,0.00531422835436062,NA,NA,NA,NA,NA,NA,NA,NA
"79","China","CI",2008,0.0050251256281407,2.52518875785965e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"80","Dark","CI",2008,0.0100502512562814,5.0248705585692e-05,0.340425531914894,0.00488121715511642,NA,NA,NA,NA,NA,NA,NA,NA
"81","DrkDsky","CI",2008,0.0150753768844221,7.49904540212866e-05,0.191489361702128,0.00336567795776173,NA,NA,NA,NA,NA,NA,NA,NA
"82","Dusky","CI",2008,0,0,0.0425531914893617,0.00088570472572677,NA,NA,NA,NA,NA,NA,NA,NA
"83","Quillback","CI",2008,0.0251256281407035,0.000123708742177973,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"84","Shortraker","CI",2008,0.0050251256281407,2.52518875785965e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"85","Tiger","CI",2008,0.0100502512562814,5.0248705585692e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"86","Yelloweye","CI",2008,0.21105527638191,0.000840964377238714,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"87","Black","CI",2009,0.690104166666667,0.000558382260616116,0.216949152542373,0.000577830672631017,NA,NA,NA,NA,NA,NA,NA,NA
"88","China","CI",2009,0,0,0.00338983050847458,1.1490950876185e-05,NA,NA,NA,NA,NA,NA,NA,NA
"89","Dark","CI",2009,0.0494791666666667,0.000122796289119162,0.366101694915254,0.000789357972433443,NA,NA,NA,NA,NA,NA,NA,NA
"90","Dusky","CI",2009,0.109375,0.00025433971116188,0.264406779661017,0.000661550457586079,NA,NA,NA,NA,NA,NA,NA,NA
"91","Quillback","CI",2009,0.00520833333333333,1.35279545619379e-05,0.0305084745762712,0.000100604447467007,NA,NA,NA,NA,NA,NA,NA,NA
"92","Yelloweye","CI",2009,0.145833333333333,0.000325237525384392,0.11864406779661,0.000355672289024774,NA,NA,NA,NA,NA,NA,NA,NA
"93","Black","CI",2010,0.474189675870348,0.000299680080731157,0.390946502057613,0.000983914605729462,NA,NA,NA,NA,NA,NA,NA,NA
"94","China","CI",2010,0.00480192076830732,5.7438249101469e-06,0.00411522633744856,1.69350878084303e-05,NA,NA,NA,NA,NA,NA,NA,NA
"95","Copper","CI",2010,0.014405762304922,1.70651878814135e-05,0.00411522633744856,1.69350878084303e-05,NA,NA,NA,NA,NA,NA,NA,NA
"96","Dark","CI",2010,0.354141656662665,0.000274910268844817,0.452674897119342,0.00102380303569147,NA,NA,NA,NA,NA,NA,NA,NA
"97","DrkDsky","CI",2010,0,0,0.00411522633744856,1.69350878084303e-05,NA,NA,NA,NA,NA,NA,NA,NA
"98","Dusky","CI",2010,0.0576230492196879,6.5267588243165e-05,0.135802469135802,0.000484959332695958,NA,NA,NA,NA,NA,NA,NA,NA
"99","Quillback","CI",2010,0.00720288115246098,8.59495150909195e-06,0.00823045267489712,3.37302162134851e-05,NA,NA,NA,NA,NA,NA,NA,NA
