"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"2143","Seward","P20",160000,15,1,1,"B",495932,3,3,0,6,6,0,"N",0,9,1,4,"N",0,10,0,0,60,0,"N",0,0,1,0,70,0,"N",0,0,0,0,0,0,"N",0,0,4,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Private","","Out",3,10,4,4,10,1,0,11,0,6
"2144","Seward","P21",160000,15,1,1,"B+S",495938,3,4,0,6,4,0,"Y",0,6,0,5,"N",0,2,0,0,30,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,2,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Private","","Out",4,6,0,5,2,0,0,2,0,4
"2145","Seward","P22",160000,15,1,2,"S",495938,3,4,0,6,14,0,"Y",0,0,0,1,"N",0,0,0,0,0,0,"N",0,0,0,0,0,1,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Private","","Out",4,0,0,2,0,0,0,0,0,14
"2146","Seward","P23",160000,15,1,1,"B",495936,3,3,0,5,0,0,"N",0,0,0,12,"N",0,6,0,0,0,4,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Private","","Out",3,0,0,16,6,0,0,6,0,0
"2147","Seward","P24",160000,15,1,1,"B+S",495932,3,4,0,6,0,0,"N",0,0,0,15,"N",0,2,0,0,50,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,8,"Private","","Out",4,0,0,15,2,0,0,2,0,0
"2148","Seward","P25",160000,19,1,1,"H",495938,4,3,0,5,6,0,"N",0,3,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,9,"Private","","Out",3,3,0,0,0,0,0,0,0,6
"2149","Seward","P26",160000,19,1,1,"S",495938,4,3,0,3,1,0,"N",0,0,2,5,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,2,0,0,30,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,9,"Private","","In",3,2,0,5,0,0,2,2,0,1
"2150","Seward","P27",160000,19,1,2,"S",495932,4,2,0,20,0,0,"N",0,0,2,4,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,1,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,9,"Private","","Out",2,2,0,4,0,0,1,1,0,0
"2151","Seward","P28",160000,19,1,1,"S",495932,4,2,0,9,0,0,"N",0,0,0,0,"N",0,3,0,0,0,0,"N",0,0,0,0,0,0,"N",0,1,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,9,"Private","","Out",2,0,0,0,3,0,1,4,0,0
"2152","Seward","P29",160000,19,1,1,"B+S",495935,1,3,0,8,0,0,"N",0,0,0,0,"N",0,4,0,0,70,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2016,8,9,"Private","","Out",3,0,0,0,4,0,0,4,0,0
