"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PRELMETH","PELDEPTH","YEKEPT","YEVER","YECAS","YEREL","YERELMETH","YEDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPRELMETH","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"428","CCI","BUTT CHASER",123228,12,1,1,"H",515939,NA,4,2,3,12,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,4,0,0,0,0
"429","CCI","CATCHER II",123217,12,1,1,"H",525931,NA,4,1,4,7,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,3,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",5,6,0,0,0,0
"430","CCI","DREAM CATCHER II",120258,12,1,1,"H",525931,NA,5,2,3,14,"N",0,15,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,15,0,0,0,0
"431","CCI","REDEEMER",122073,12,1,1,"H",525931,NA,6,0,4,12,"N",0,15,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,15,0,0,0,0
"432","CCI","NSC 1",122018,12,1,1,"H",525931,NA,6,0,3,12,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,2,"N",2,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,0,0,0,0,0
"433","CCI","TNT",122142,12,1,1,"H",525931,NA,6,2,3,16,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",8,0,0,0,0,0
"434","CCI","HARD EIGHT",122041,12,1,1,"H",525931,NA,7,0,3,14,"N",0,24,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,24,0,0,0,0
"435","CCI","HOOKSETTER",122069,12,1,1,"H",525931,NA,4,2,5,12,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,8,"N",0,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,4,0,0,0,0
"436","CCI","REEL TIME",123230,12,1,1,"H",525931,NA,6,0,2.5,12,"N",0,21,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,21,0,0,0,0
"437","CCI","",NA,12,1,1,"H",525931,NA,3,0,2,5,"N",0,2,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",3,2,0,0,0,0
