"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"51","CCI","",NA,11,1,1,"B",525931,NA,3,0,3,6,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,6,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",3,10,0,NA,0
"52","CCI","",NA,11,1,1,"B",525931,NA,3,0,5,6,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",3,2,0,NA,0
"53","CCI","",NA,11,1,1,"B+S",525931,NA,4,0,5,3,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,18,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",4,0,0,NA,0
"54","CCI","RAPTOR",90297,11,1,1,"B",525931,NA,5,0,5,9,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",5,0,0,NA,0
"55","CCI","FOUR ACES",93382,11,1,1,"B+S",525931,NA,6,0,4,12,"N",0,12,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,12,0,NA,0
"56","CCI","",NA,11,1,1,"B",NA,NA,4,0,5,7,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",4,0,0,NA,0
"57","CCI","ARCTIC ENDURANCE",93345,11,1,1,"B",525902,NA,6,0,4,12,"N",0,49,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,4,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,49,0,NA,0
"58","CCI","GLACIER BEAR",91734,11,1,1,"B",525931,NA,6,0,4,12,"N",0,9,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,2,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,9,0,NA,0
"59","CCI","",NA,11,1,1,"B+S",515939,NA,4,0,2.5,8,"N",0,1,0,NA,"",0,0,NA,"",NA,0,NA,"",1,0,0,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",4,1,1,NA,0
"60","CCI","ORCA",93394,11,1,1,"B",525931,NA,5,0,4,10,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",5,10,0,NA,0
"61","CCI","",NA,11,1,1,"B",515939,NA,7,0,4,13,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",7,0,0,NA,0
