"PORT","TARGET","BOATNAME","LOGBOOK","HOUR","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","ADFGSTATCOMBI","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_COMBI","HAKEPT","GAFHAKEPT","HACAS","HARELCIR","HARELOTH","PELKEPT","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODCAS","CODREL","SABKEPT","SABCAS","SABREL","POLKEPT","POLCAS","POLREL","SSKKEPT","SSKCAS","SSKREL","SDFKEPT","SDFCAS","SDFREL","PSSKEPT","PSSCAS","PSSREL","COMMENTS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","BOATHRS","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"Homer","H","",,16,1,515937,,,,4,3,0,6,0,0,0,3,0,0,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,4,"0",4,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,22,"Private",,,6,"CI",3,2,0,0,0,0,0,0,0,3
"Homer","H","",,12,1,515935,,,,3,2,0,6,0,0,0,1,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",1,0,"0",0,0,"0",0,0,"0",0,"2 irish lords, 2 flounder",2022,5,27,"Private",,,6,"CI",2,0,0,0,0,0,0,0,0,1
"Homer","S","",,13,1,515936,,,,5,2,0,0,0,0,6,1,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,6,"CI",2,0,0,0,0,0,0,0,0,1
"Homer","S","",,14,1,,515935,,,2,2,0,0,0,0,3,0,0,0,0,0,0,"0",2,0,60,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,3,,2,0,0,0,2,0,0,2,0,0
"Homer","B+S","",,14,1,515935,515935,,,2,1,0,0,0,0,0,0,0,0,0,1,1,"0",6,0,40,0,0,0,0,,1,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,0,"CI",1,1,0,2,6,0,0,6,0,0
"Homer","B+S","",,14,1,515907,515936,,,2,3,0,2,0,0,0,4,0,4,0,0,3,"3",1,0,40,0,0,0,0,,0,"0",1,0,40,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,2,"CI",3,0,0,3,1,0,1,2,3,4
"Homer","H","FISH MAGNET",222192,14,1,525931,,,,2,6,0,5,0,0,0,12,0,12,10,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,5,"CI",6,10,0,0,0,0,0,0,0,12
"Homer","H","KACHEMAK KING",221281,14,1,525931,,,,2,2,0,3,0,0,0,4,0,4,1,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",10,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,3,"CI",2,1,0,0,0,0,0,0,0,4
"Homer","B+S","ENOUGH SAID",221230,14,1,525931,,,,2,4,0,2,0,0,0,8,0,0,0,11,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,2,"CI",4,11,0,0,0,0,0,0,0,8
"Homer","S","",,15,1,525931,,,,4,1,0,0,0,0,6,2,0,0,0,12,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",1,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,6,"CI",1,12,0,0,0,0,0,0,0,2
"Homer","H","",,15,1,515937,,,,4,2,0,5,0,0,0,1,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",1,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Private",,,5,"CI",2,0,0,0,0,0,0,0,0,1
"Homer","H","",,15,1,515907,,,,4,3,0,3,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"Irish lord",2022,5,27,"Private",,,3,"CI",3,0,0,0,0,0,0,0,0,0
"Homer","H","",,15,1,515937,,,,4,3,0,5,0,0,0,1,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"1 Irish lord",2022,5,27,"Private",,,5,"CI",3,0,0,0,0,0,0,0,0,1
"Homer","B+S","GRANDE ALASKA",222286,16,1,525931,525931,,,1,3,0,1,0,0,0,6,0,6,0,0,1,"1",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,1,"CI",3,0,0,1,0,0,0,0,1,6
"Homer","H","TOMAHAWK II",221345,16,1,515936,,,,1,6,0,3,0,0,0,12,0,0,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"Cleaned at seldovia, 1 skate",2022,5,27,"Charter",,,3,"CI",6,2,0,0,0,0,0,0,0,12
"Homer","H","BAY EXPLORER",221195,16,1,515907,,,,1,16,0,6,0,0,0,32,0,32,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,12,"12",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,6,"CI",16,0,0,0,0,0,0,0,0,32
"Homer","H","IRISH",221330,16,1,525931,,,,1,14,0,3,0,0,0,21,0,21,7,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,20,"20",10,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,3,"CI",14,7,0,0,0,0,0,0,0,21
"Homer","B","AMPHITRITE",221182,17,1,515903,515903,,,3,6,0,0,0,0,5,8,0,8,18,0,24,"24",0,0,,1,1,0,0,,5,"5",0,0,,0,"0",0,0,11,"11",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,5,"CI",6,18,0,30,0,0,0,0,30,8
"Homer","H","STELLA",221321,17,1,525931,,,,3,5,0,6,0,0,0,10,0,10,8,2,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,6,"6",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,6,"CI",5,10,0,0,0,0,0,0,0,10
"Homer","B+S","THE CHOSEN 1",222249,17,1,525931,525931,,,3,2,0,2,0,0,0,4,0,4,0,1,10,"10",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,3,"3",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,2,"CI",2,1,0,10,0,0,0,0,10,4
"Homer","B+S","REEL TIME",222351,17,1,515905,515905,,,5,6,0,4,2,0,0,12,0,12,6,0,22,"22",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,4,"4",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,27,"Charter",,,6,"CI",6,6,0,22,0,0,0,0,22,12
"Homer","H","ASTERIA",221310,12,1,515936,,,,3,5,0,3,0,0,0,10,0,10,7,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,12,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,3,"CI",5,7,0,0,0,0,0,0,0,10
"Homer","H","FISH MAGNET",222192,14,1,525931,,,,2,6,0,4,0,0,0,12,0,12,13,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,4,"CI",6,13,0,0,0,0,0,0,0,12
"Homer","H","BLACK PEARL",221357,14,1,525931,,,,2,6,0,1,0,0,0,12,0,0,10,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,9,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,1,"CI",6,10,0,0,0,0,0,0,0,12
"Homer","B+S","WHISTLER",221265,16,1,525931,,,,1,9,0,8,0,0,0,18,0,18,2,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,8,"CI",9,2,0,0,0,0,0,0,0,18
"Homer","H","BAY EXPLORER",221195,16,1,515907,,,,1,17,0,6,0,0,0,34,0,34,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,11,"11",8,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,6,"CI",17,0,0,0,0,0,0,0,0,34
"Homer","B+S","PATRIOT",221266,16,1,525602,,,,1,6,0,2,0,0,0,12,0,12,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,6,"6",5,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,2,,6,0,0,0,0,0,0,0,0,12
"Homer","B+S","BEAU SOLEIL",221335,16,1,525931,,,,1,5,0,1,0,0,0,10,0,10,8,1,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,1,"1",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,1,"CI",5,9,0,0,0,0,0,0,0,10
"Homer","H","OPTIMIST",221294,16,1,515936,,,,1,4,0,6,0,0,0,8,0,8,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,2,"2",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"1 skate, 1 Irish lord",2022,5,28,"Charter",,,6,"CI",4,0,0,0,0,0,0,0,0,8
"Homer","B+S","ARTEMIS",221280,17,1,525931,,,,3,5,0,4,0,0,0,10,0,10,4,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,8,"8",0,0,"0",0,1,"0",0,0,"0",0,0,"0",8,0,"0",0,"polluck at 120 ft!",2022,5,28,"Charter",,,4,"CI",5,4,0,0,0,0,0,0,0,10
"Homer","B","AMPHITRITE",221182,17,1,515903,515903,,,3,6,0,0,0,0,7,12,0,12,4,0,30,"30",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,7,"CI",6,4,0,30,0,0,0,0,30,12
"Homer","B+S","THE CHOSEN 1",222249,17,1,525931,525931,,,3,2,0,2,0,0,0,4,0,4,2,0,2,"2",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,1,"1",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Charter",,,2,"CI",2,2,0,2,0,0,0,0,2,4
