PORT,BOATNAME,LOGBOOK,HOUR,TRIP1OR2,NUMDAYS,TARGET,ADFGSTAT,INTLOC,CLIENTDAYS,CREWDAYS,BOATHRS,HAKEPT,HAVER,HACAS,HARELCIR,HARELOTH,PELKEPT,PELVER,P_KPT_CAS,PELREL,HOWPREL,PELDEPTH,YEKEPT,YEVER,YECAS,YEREL,HOWYEREL,YEDEPTH,NPKEPT,NPVER,NPCAS,NPREL,HOWNPREL,NPDEPTH,LCKEPT,LCVER,LCCAS,LCRELOVR,LCRELUND,CODKEPT,CODVER,CODCAS,CODREL,SABKEPT,SABVER,SABCAS,SABREL,POLKEPT,POLVER,POLCAS,POLREL,SSKKEPT,SSKVER,SSKCAS,SSKREL,SDFKEPT,SDFVER,SDFCAS,SDFREL,PSSKEPT,PSSVER,PSSCAS,PSSREL,PCAS,YEAR,MONTH,DAY,USER,SUBLOC,RESBAY,ANGLDAYS,HAREL,LCREL,TRFKEPT,TRFREL,TRFCAS
CCI,,NA,16,1,1,H,525931,NA,3,0,5,6,Y,0,4,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,3,Y,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,3,4,0,0,0,0
CCI,,NA,16,1,1,H,515938,NA,6,0,4,12,Y,0,6,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,8,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,6,6,0,0,0,0
CCI,,NA,16,1,1,B+S,515938,NA,4,0,4,8,Y,0,2,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,N,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,2,0,0,0,0
CCI,O'DEA,113588,16,1,1,B+S,525931,NA,5,1,3,12,Y,0,5,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,6,5,0,0,0,0
CCI,THE HUNTER,110393,16,1,1,B+S,525931,NA,4,0,4,8,Y,0,15,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,4,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,4,15,0,0,0,0
CCI,RUBY TOO,110277,17,1,1,H,525931,NA,6,1,5,14,Y,0,15,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,3,,1,2,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,7,15,0,0,0,0
CCI,,NA,17,1,1,B+S,515939,NA,3,0,2,6,Y,0,10,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,3,10,0,0,0,0
CCI,,NA,17,1,1,H,515938,NA,8,0,4,12,Y,0,4,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,N,NA,20,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,8,4,0,0,0,0
CCI,,NA,17,1,1,B+S,525931,NA,4,0,1,8,Y,0,1,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,2,,0,10,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,1,0,0,0,0
CCI,DREAM CATCHER II,110279,17,2,1,H,525931,NA,6,2,4,15,Y,0,5,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,8,5,0,0,0,0
CCI,,NA,17,1,1,H,515939,NA,4,0,4,6,Y,0,2,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,3,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,2,0,0,0,0
CCI,,NA,17,1,1,H,515938,NA,7,0,5,14,Y,0,30,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,8,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,7,30,0,0,0,0
CCI,VOYAGEUR,112348,17,1,1,H,525931,NA,8,1,3,17,Y,0,71,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,9,71,0,0,0,0
CCI,,NA,17,1,1,B+S,525931,NA,4,0,2,0,Y,0,0,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,5,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,0,0,0,0,0
CCI,,NA,17,1,1,B+S,515938,NA,4,0,3.5,2,Y,0,7,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,4,7,0,0,0,0
CCI,,NA,17,1,1,B+S,525931,NA,5,0,1,10,Y,0,1,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,5,1,0,0,0,0
CCI,,NA,17,1,1,H,515938,NA,5,0,5,10,Y,0,6,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,5,,NA,5,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,5,6,0,0,0,0
CCI,EXCITER,112341,17,1,1,B+S,525931,NA,8,0,4,16,Y,0,17,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,7,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,8,17,0,0,0,0
CCI,,NA,17,1,1,H,525931,NA,2,0,5,1,Y,0,1,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,20,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,2,1,0,0,0,0
CCI,A-M,110257,18,1,1,B+S,525931,NA,6,0,4,12,Y,0,12,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,4,N,4,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,6,12,0,0,0,0
CCI,,NA,19,1,1,B+S,525931,NA,6,0,5,12,Y,12,40,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,5,N,5,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Private,DeepCr,,6,40,0,0,0,0
CCI,SOLO,112083,20,1,1,B+S,525931,NA,5,2,7,14,Y,0,14,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,2,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,5,28,Charter,DeepCr,,7,14,0,0,0,0
CCI,SHADOW,113583,9,1,1,H,525931,NA,4,2,3,12,N,0,12,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,,1,5,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,6,12,0,0,0,0
CCI,A-M,110257,11,1,1,B+S,525931,NA,4,1,3,9,N,0,4,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,N,0,3,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,5,4,0,0,0,0
