"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtarea","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"11","CCI","MISS RENE",170565,14,1,1,"B+S",525931,NA,6,0,3,9,0,"N",0,21,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,1,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Charter","AnchorPt","","CI",6,21,0,0,0,0,0,0,0,9
"12","CCI","JUSTICE",171648,14,1,1,"B+S",525931,NA,5,0,6,10,0,"N",10,10,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Charter","AnchorPt","","CI",5,10,0,0,0,0,0,0,0,10
"13","CCI","",NA,15,1,1,"B+S",515937,NA,2,0,9,4,0,"N",0,6,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",2,6,0,0,0,0,0,0,0,4
"14","CCI","",NA,15,1,1,"B+S",525931,NA,3,0,8,6,0,"N",0,40,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,1,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",3,40,0,0,0,0,0,0,0,6
"15","CCI","",NA,15,1,1,"B+S",525931,NA,4,0,4,6,0,"N",0,20,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",4,20,0,0,0,0,0,0,0,6
"16","CCI","",NA,16,1,1,"H",525931,NA,3,0,5,6,0,"N",6,15,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",3,15,0,0,0,0,0,0,0,6
"17","CCI","",NA,16,1,1,"B+S",525931,NA,4,0,10,8,0,"N",0,10,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",4,10,0,0,0,0,0,0,0,8
"18","CCI","",NA,16,1,1,"B+S",515937,NA,5,0,8,1,0,"N",0,2,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",5,2,0,0,0,0,0,0,0,1
"19","CCI","",NA,16,1,1,"B+S",515939,NA,3,0,8,6,0,"N",0,4,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",3,4,0,0,0,0,0,0,0,6
"20","CCI","",NA,16,1,1,"H",525931,NA,3,0,4,2,0,"N",2,18,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,2017,5,21,"Private","AnchorPt","","CI",3,18,0,0,0,0,0,0,0,2
