"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PELDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"1553","Kodiak","",NA,17,1,1,"S",525733,3,1,0,2.5,0,"N",0,0,0,0,"",NA,1,35,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",1,0,0,0,1,NA
"1554","Kodiak","",NA,17,1,1,"S",525733,3,2,0,8,0,"N",0,0,0,0,"",NA,2,80,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,2,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",2,0,0,0,2,NA
"1555","Kodiak","3 BEARS",102923,18,1,1,"S",525731,3,10,0,8,3,"N",0,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,3,"N",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Charter","","",10,0,0,0,0,NA
"1556","Kodiak","",NA,18,1,1,"B+S",525733,3,4,0,6.5,4,"N",0,0,2,8,"N",NA,5,5,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,1,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",4,2,0,8,5,NA
"1557","Kodiak","",NA,18,1,1,"S",525733,3,2,0,3,0,"N",0,0,1,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,12,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",2,1,0,0,0,NA
"1558","Kodiak","",NA,18,1,1,"H",525733,2,3,0,5,0,"N",0,0,0,5,"N",NA,1,100,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,1,0,"",NA,0,NA,2010,7,25,"Private","","",3,0,0,5,1,NA
"1559","Kodiak","SILVER BULLET",102924,19,1,1,"H",525731,2,5,2,7,8,"N",0,4,3,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,8,"N",NA,15,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Charter","","",7,7,0,0,0,NA
"1560","Kodiak","LANA J",102869,20,1,1,"B",525731,2,5,0,9,6,"N",0,2,0,26,"N",NA,0,0,0,"",NA,0,0,3,"N",0,0,0,13,"N",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Charter","","",5,2,0,26,0,NA
"1561","Kodiak","JILLIAN DAWN",102883,20,1,1,"B+S",525733,2,4,0,8,1,"N",0,0,0,26,"N",NA,4,20,0,"",NA,0,0,2,"N",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Charter","","",4,0,0,26,4,NA
"1562","Kodiak","",NA,21,1,1,"H",525733,2,4,0,6,0,"N",0,0,3,4,"N",NA,20,90,0,"",NA,0,0,4,"Y",NA,0,10,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,25,"Private","","",4,3,10,4,20,NA
