"","PORT","TARGET","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","STATAREA_BOT","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_TOT","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","ADFGSTATOTH","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"23","Kodiak","H","",NA,15,1,1,525733,NA,NA,NA,1,2,0,3,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,2,"N",2,4,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Private","","","Kod",2,0,0,0,0,0,0,0,0,0
"24","Kodiak","H","",NA,15,1,1,525733,525733,525733,NA,1,4,0,4,0,0,0,1,0,"Y",0,0,2,1,"Y",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,1,4,"Y",0,10,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Private","","","Kod",4,2,1,1,0,0,0,0,0,1
"25","Kodiak","H","",NA,16,1,1,525733,525733,525733,NA,1,4,0,6,0,0,0,2,0,"Y",0,1,0,0,"N",0,2,0,65,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,1,1,"Y",0,4,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Private","","","Kod",4,1,1,0,2,0,0,2,0,2
"26","Kodiak","H","",NA,16,1,1,525733,NA,NA,NA,1,3,0,4,0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,3,"Y",0,2,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Private","","","Kod",3,0,0,0,0,0,0,0,0,0
"27","Kodiak","H","",NA,16,1,1,525733,525733,525733,NA,1,4,0,6,0,0,0,0,0,"N",0,0,0,4,"Y",0,0,3,100,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,2,9,17,"Y",0,8,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Private","","","Kod",4,0,11,4,3,0,0,3,0,0
"28","Seward","B","",NA,14,1,1,495938,495938,NA,NA,3,3,0,2.5,2,0,0,0,0,"N",0,0,0,10,"N",0,3,0,50,0,"N",0,0,0,0,2,"N",0,0,0,0,0,"N",0,0,2,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,15,"Private","","Both","NG",3,0,2,12,3,0,0,3,0,0
"29","Seward","B","TIA ROSE",212109,16,1,1,495934,495934,NA,NA,4,12,0,0,0,0,5,24,0,"N",24,21,0,50,"N",50,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,15,"Charter","","Out","NG",12,21,0,50,0,0,0,0,50,24
"30","Seward","B+S","CRACKERJACK",210039,17,1,1,475934,475934,NA,NA,1,4,0,5,0,0,0,4,0,"N",0,0,0,2,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,15,"Charter","","Out","PWS",4,0,0,2,0,0,0,0,0,4
"31","Seward","R","GRAY LIGHT",2111961,17,1,1,NA,485931,NA,NA,1,4,0,0,4,0,0,0,0,"N",0,0,0,12,"N",0,0,0,0,0,"N",0,0,0,0,4,"N",0,0,0,0,0,"N",0,1,3,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,15,"Charter","","Out","",4,0,4,16,0,0,0,0,0,0
"32","Seward","B","STRIKER",210051,17,1,1,475934,475934,475934,NA,1,6,0,0,0,0,6,6,0,"N",0,0,1,24,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,15,"Charter","","Out","PWS",6,1,1,24,0,0,0,0,0,6
