"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS"
"1150","Kodiak","",NA,17,1,1,"B",525732,1,3,0,5.5,0,"N",0,2,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",3,2,0,0,0,0,0,0,0
"1151","Kodiak","",NA,17,1,1,"B+S",525805,1,2,0,9,5,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2013,6,8,"Private","","",2,0,0,0,0,0,0,0,0
"1152","Kodiak","",NA,18,1,1,"H",525731,3,4,0,1,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,8,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,8,"Private","","",4,0,0,0,0,0,0,0,0
"1153","Kodiak","",NA,15,1,1,"H",525733,1,2,0,5,2,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",2,0,0,0,0,0,0,0,0
"1154","Kodiak","",NA,16,1,1,"H",525733,1,3,0,3,6,"Y",0,1,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,4,"Y",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",3,1,0,0,0,0,0,0,0
"1155","Kodiak","RUNNAMUCK V",132389,16,1,1,"H",525701,3,6,0,4,12,"N",0,5,0,1,"N",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,2,"N",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Charter","","",6,5,0,1,0,0,0,0,0
"1156","Kodiak","",NA,17,1,1,"B+S",525731,2,3,0,1.5,1,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,6,"Y",NA,10,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",3,0,0,0,0,0,0,0,0
"1157","Kodiak","",NA,17,1,1,"H",525733,2,2,0,1,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",2,0,0,0,0,0,0,0,0
"1158","Kodiak","",NA,17,1,1,"B+S",525733,2,3,0,2.5,0,"N",0,0,0,0,"",NA,2,0,0,60,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",3,0,0,0,2,0,0,2,0
"1159","Kodiak","",NA,17,1,1,"S",525733,2,6,0,6,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,2,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",6,0,0,0,0,0,0,0,0
